Cincinnati,AAC
Connecticut,AAC
Houston,AAC
Louisville,ACC
Memphis,AAC
Rutgers,Big 10
South Florida,AAC
Southern Methodist,AAC
Temple,AAC
UCF,AAC
Boston College,ACC
Clemson,ACC
Florida State,ACC
Maryland,Big 10
North Carolina State,ACC
Syracuse,ACC
Wake Forest,ACC
Duke,ACC
Georgia Tech,ACC
Miami (Fla.),ACC
North Carolina,ACC
Pittsburgh,ACC
Virginia,ACC
Virginia Tech,ACC
Iowa,Big 10
Michigan,Big 10
Michigan State,Big 10
Minnesota,Big 10
Nebraska,Big 10
Northwestern,Big 10
Illinois,Big 10
Indiana,Big 10
Ohio State,Big 10
Penn State,Big 10
Purdue,Big 10
Wisconsin,Big 10
Baylor,Big 12
Iowa State,Big 12
Kansas,Big 12
Kansas State,Big 12
Oklahoma,Big 12
Oklahoma State,Big 12
TCU,Big 12
Texas,Big 12
Texas Tech,Big 12
West Virginia,Big 12
East Carolina,AAC
Florida Atlantic,CUSA
Florida International,CUSA
Marshall,CUSA
Middle Tennessee,CUSA
Southern Mississippi,CUSA
UAB,CUSA
Louisiana Tech,CUSA
North Texas,CUSA
Rice,CUSA
Texas-El Paso,CUSA
Texas-San Antonio,CUSA
Tulane,AAC
Tulsa,AAC
Army,Indy
Brigham Young,Indy
Idaho,Sun Belt
Navy,Indy
New Mexico State,Indy
Notre Dame,Indy
Old Dominion,CUSA
Akron,MAC
Bowling Green,MAC
Buffalo,MAC
Kent State,MAC
Massachusetts,MAC
Miami (Ohio),MAC
Ohio,MAC
Ball State,MAC
Central Michigan,MAC
Eastern Michigan,MAC
Northern Illinois,MAC
Toledo,MAC
Western Michigan,MAC
Air Force,MWC
Boise State,MWC
Colorado State,MWC
New Mexico,MWC
Utah State,MWC
Wyoming,MWC
Fresno State,MWC
Hawaii,MWC
Nevada,MWC
San Diego State,MWC
San Jose State,MWC
UNLV,MWC
California,Pac 12
Oregon,Pac 12
Oregon State,Pac 12
Stanford,Pac 12
Washington,Pac 12
Washington State,Pac 12
Arizona,Pac 12
Arizona State,Pac 12
Colorado,Pac 12
Southern California,Pac 12
UCLA,Pac 12
Utah,Pac 12
Florida,SEC
Georgia,SEC
Kentucky,SEC
Missouri,SEC
South Carolina,SEC
Tennessee,SEC
Vanderbilt,SEC
Alabama,SEC
Arkansas,SEC
Auburn,SEC
LSU,SEC
Mississippi State,SEC
Ole Miss,SEC
Texas A&M,SEC
Arkansas State,Sun Belt
Georgia State,Sun Belt
La.-Lafayette,Sun Belt
Louisiana-Monroe,Sun Belt
South Alabama,Sun Belt
Texas State,Sun Belt
Troy,Sun Belt
Western Kentucky,CUSA
